"Timecode","Content","Content_zh"
"00:03:31,314 --> 00:03:34,470","I'm just curious who's going to be the first one to like post a review.","我只是好奇誰會第一個發評測。"
"00:03:34,470 --> 00:03:35,682","Remo: Yeah, right.","Remo：是啊"
"00:03:35,682 --> 00:03:37,349","Rice: Tim, did you hear that? Schafer: What?","Rice：Tim，你聽到了嗎？Schafer：什麼？"
"00:03:37,349 --> 00:03:46,864","Rice: Digital Trends posted an article, ""Why We're Breaking the Broken Age Embargo."" And how they're going to review it.","Rice：Digital Trends 發了一篇文章，〈為什麼我們要打破《Broken Age》的禁評期〉，還有他們打算怎麼評測。"
"00:03:46,864 --> 00:03:49,142","Schafer: Well, what embargo are they breaking?","Schafer：呃，他們要打破什麼禁評期？"
"00:03:49,142 --> 00:03:49,933","Rice: The review embargo.","Rice：評測禁評期。"
"00:03:49,933 --> 00:03:52,123","They're going to put a review up.","他們要發評測。"
"00:03:52,123 --> 00:03:53,525","Schafer: They're just announcing they're going to break it?","Schafer：他們只是宣布自己要打破禁評期？"
"00:03:53,525 --> 00:03:55,761","Rice: Yeah. Schafer: Why?","Rice：對。Schafer：為什麼？"
"00:03:55,761 --> 00:03:58,666","Rice: Because they paid for the game and they're a backer.","Rice：因為他們付錢買了遊戲，而且他們是贊助者。"
"00:03:58,666 --> 00:04:02,784","And they're getting it because they paid for it.","他們會拿到遊戲，是因為他們付了錢。"
"00:04:02,784 --> 00:04:06,267","Schafer: But we, but they're not, they're in the Beta...","Schafer：可是我們，可是他們不是，他們在 Beta……"
"00:04:06,267 --> 00:04:08,488","Rice: They haven't reviewed it yet, but Digital Trends, I know.","Rice：他們還沒有評測，不過 Digital Trends，我知道。"
"00:04:08,488 --> 00:04:10,748","They emailed me about this yesterday and that's what I told them.","他們昨天有為這件事寄信給我，我也是這樣跟他們說的。"
"00:04:10,748 --> 00:04:14,453","Remo: Technically no one signed anything so there's nothing we can actually do about it now. Rice: Yeah.","Remo：嚴格來說沒有人簽任何東西，所以我們現在其實也不能拿他怎樣。Rice：對。"
"00:04:14,453 --> 00:04:16,046","Schafer: What do you think about that? Bailey: I'm sorry?","Schafer：你覺得呢？Bailey：不好意思？"
"00:04:16,046 --> 00:04:17,637","Rice: Yeah, I don't think there's anything we can about it.","Rice：對，我覺得我們也不能拿這件事怎樣。"
"00:04:17,637 --> 00:04:18,743","Bailey: Well, unless we have something in writing.","Bailey：除非我們有白紙黑字的東西。"
"00:04:18,744 --> 00:04:21,375","Remo: No, we don't. Embargoes are not really enforceable.","Remo：沒有，我們沒有。禁評期其實沒有什麼強制力。"
"00:04:21,375 --> 00:04:23,451","Bailey: Exactly. It's a professional...","Bailey：沒錯。這是專業上的……"
"00:04:23,451 --> 00:04:24,738","Remo: I know, I know. It's a courtesy.","Remo：我知道，我知道。這是一種禮貌。"
"00:04:24,738 --> 00:04:26,324","A professional courtesy, yeah.","一種專業禮貌，對。"
"00:04:26,324 --> 00:04:29,565","Schafer: Well, maybe he didn't agree to anything but he knows he's being a shit.","Schafer：嗯，也許他沒有同意任何事，但他知道自己是在耍混蛋。"
"00:04:29,565 --> 00:04:32,373","Schafer: It's like people don't realize that everything's embargo.","Schafer：大家好像沒有意識到，每篇評測都有禁評期。"
"00:04:32,373 --> 00:04:38,223","Like every review they read has usually been embargoed, because your game's coming out and people want the press for the game","他們讀到的每篇評測通常都有禁評期，因為你的遊戲要上市了，大家希望遊戲的媒體報導"
"00:04:38,223 --> 00:04:41,706","to come up on launch day or around that time people can buy it.","能在發行日或大家差不多能買到的時候出來。"
"00:04:41,706 --> 00:04:45,944","'Cause if it comes out before, then all that energy, people see that article, they can't go buy it.","因為如果提早出來，那股聲勢，大家看到那篇文章，卻不能去買。"
"00:04:45,944 --> 00:04:46,837","So anyway.","總之"
"00:04:46,837 --> 00:04:52,697","You want your, you want to time your press to that day, but different reporters can come in at different times","你會想把媒體報導安排在那一天，但不同記者會在不同時間加入，"
"00:04:52,697 --> 00:04:57,213","and they're like hey, I want to, you know, just because this guy came in a week early,","他們會說，嘿，我想，你知道，就因為這傢伙早一週進來，"
"00:04:57,213 --> 00:04:59,515","does that mean his review gets to go up a week earlier?","就代表他的評測可以早一週發嗎？"
"00:04:59,515 --> 00:05:05,252","So you say it's embargoed, so that all the press has a fair chance of getting their story, not getting scooped or whatever.","所以你說有禁評期，讓所有媒體都有公平機會寫自己的報導，不會被別人搶先之類的。"
"00:05:05,252 --> 00:05:10,191","And they also have time with the build to do a thoughtful build instead of racing to like getting it out early.","而且他們也有時間用這個版本好好寫評測，而不是急著搶先發出去。"
"00:05:10,191 --> 00:05:15,874","But we were going out to backers and 90,000 people had the build and I think most of the regular backers were like,","但我們開放給贊助者時，有 9 萬人拿到版本，我想大多數一般贊助者都會覺得，"
"00:05:15,874 --> 00:05:17,330","OK, yeah, this is private information.","好，對，這是私人資訊。"
"00:05:17,330 --> 00:05:19,963","I won't spoil it for people who can't buy it yet.","我不會爆雷給還不能買的人。"
"00:05:19,963 --> 00:05:21,990","And the press understood it.","媒體也明白"
"00:05:21,990 --> 00:05:28,983","But there's kind of this grey area of people between backers and press, like a, kind of like a blogger, you know, who's a backer,","但贊助者和媒體之間有一塊灰色地帶，像是，有點像部落客，你知道，他也是贊助者，"
"00:05:28,983 --> 00:05:30,964","who's like, hey, I paid money for this.","他會說，嘿，我可是付了錢的。"
"00:05:30,964 --> 00:05:36,677","This guy's amazed to see consumers suggest the press should stick their heads in the sand because Double Fine asked them to nicely.","這個人很驚訝看到消費者建議媒體，因為 Double Fine 好聲好氣地拜託，就該把頭埋進沙子裡。"
"00:05:36,677 --> 00:05:39,999","For the evening crowd, the Broken Age embargo's a bit of a joke.","對晚間讀者來說，《Broken Age》的禁評期有點像笑話。"
"00:05:39,999 --> 00:05:44,495","Has anyone else contacted you from actual news outlet? Rice: IGN.","還有其他真正新聞媒體的人聯絡你嗎？Rice：IGN。"
"00:05:44,495 --> 00:05:46,553","Schafer: Do they want to review it or just, what'd they say?","Schafer：他們想評測，還是只是，他們怎麼說？"
"00:05:46,553 --> 00:05:47,647","Rice: Yeah, it was just yesterday.","Rice：對，就是昨天的事。"
"00:05:47,647 --> 00:05:49,981","It's like I just want to be clear on what's expected.","大概是說，我只是想弄清楚你們期待我們怎麼做。"
"00:05:49,981 --> 00:05:53,856","He says like I feel like there's so many people that are going to be having the game.","他說，我覺得會有非常多人拿到遊戲。"
"00:05:53,856 --> 00:05:58,535","Like if other people start running their reviews, we're going to feel like we're going to have to run ours.","如果其他人開始發評測，我們會覺得自己也得發。"
"00:05:58,535 --> 00:06:00,075","That's basically what they said.","基本上就是這麼說的"
"00:06:03,864 --> 00:06:07,804","Schafer: Why don't we just let the people who are not being jerks about it break the embargo?","Schafer：我們為什麼不乾脆讓那些沒有耍混蛋的人打破禁評期？"
"00:06:07,804 --> 00:06:08,829","Rice: We can't do that.","Rice：我們不能這麼做"
"00:06:08,829 --> 00:06:12,127","Schafer: And that would scoop all the people who are being jerks about it.","Schafer：這樣就能搶先那些耍混蛋的人。"
"00:06:12,127 --> 00:06:14,763","Why, we can't do that?","為什麼，我們不能這麼做？"
"00:06:14,763 --> 00:06:17,674","Rice: I don't know how to enforce that.","Rice：我不知道要怎麼執行。"
"00:06:17,674 --> 00:06:21,544","Schafer: Just pick the ones that are being nice about it and just tell them they can.","Schafer：就挑那些態度好的，告訴他們可以發。"
"00:06:21,544 --> 00:06:24,986","Then one day later tell everyone else.","然後晚一天再告訴其他人。"
"00:06:24,986 --> 00:06:31,815","Rice: Yeah. I think that only serves to inflate the issue, because then they think the embargo is still there","Rice：對。我覺得那只會讓問題變得更大，因為他們會以為禁評期還在，"
"00:06:31,815 --> 00:06:34,906","and then it's being broken and then it's a mess.","然後有人打破禁評期，接著就一團亂。"
"00:06:34,906 --> 00:06:37,972","So I think we have to, Schafer: It's kind of a mess, though, I think now.","所以我覺得我們得，Schafer：不過我覺得現在已經有點亂了。"
"00:06:37,972 --> 00:06:42,272","Rice: Well, then, that's the case and I think we have to talk about lifting it.","Rice：嗯，如果是這樣，我想我們得討論解除禁評期。"
"00:06:44,521 --> 00:06:49,523","And then I'm fine like, I've been saving the list of people I've emailed all the review stuff","那我也沒問題，我一直有留著我寄過所有評測資料的名單，"
"00:06:49,523 --> 00:06:56,443","so it would really be like a two second Kickstarter update and emailing them all, if you want to just totally lift things.","所以如果你想完全解除，其實就是發一則超短的 Kickstarter 更新，然後寄信給所有人。"
"00:06:59,595 --> 00:07:02,635","Schafer: Maybe we could just open it in a couple days, kind of.","Schafer：也許我們可以幾天後再開放，大概吧。"
"00:07:02,635 --> 00:07:04,052","Rice: Just sit on it for a second and see.","Rice：先觀望一下再說。"
"00:07:04,052 --> 00:07:06,161","Schafer: Yeah. Rice: OK.","Schafer：對。Rice：好。"
"00:07:06,161 --> 00:07:08,528","Schafer: God, that embargo's a disaster.","Schafer：天啊，那個禁評期真是一場災難。"
"00:07:08,528 --> 00:07:15,534","Schafer: And so because like one or two people were threatening to like break it, that all of a sudden made everybody else who wasn't breaking it like a chump.","Schafer：因為一兩個人威脅要打破禁評期，突然讓其他沒有打破的人都像傻子一樣。"
"00:07:15,534 --> 00:07:18,725","And I didn't want them, you know, to feel, so we just like, look, OK.","我不想讓他們，你知道，覺得那樣，所以我們就說，好吧。"
"00:07:18,725 --> 00:07:21,147","We take back our request that no one's, go ahead.","我們收回不讓任何人發的請求，發吧。"
"00:07:21,147 --> 00:07:22,716","Post all the reviews and stuff.","把所有評測之類的都發出來。"
"00:07:22,716 --> 00:07:26,153","So a bunch of our reviews went up when people couldn't buy the game.","所以在人們還不能買遊戲的時候，我們一堆評測就上線了。"
"00:07:26,153 --> 00:07:31,208","So that was kind, it took away a lot of our, like our press hit for the launch day, which is too bad.","所以那等於拿走了我們很多發行日的媒體聲量，這很可惜。"
"00:07:31,208 --> 00:07:34,760","But it seemed like it was, it would, we just couldn't, it was out of control.","但當時感覺就是，我們真的沒辦法，事情已經失控了。"
"00:07:34,760 --> 00:07:41,862","There was just like 90,000 people, even if like 80,000 of them are totally like, yeah, it's cool.","畢竟有 9 萬人，就算其中 8 萬人都完全覺得，對，沒問題。"
"00:07:41,862 --> 00:07:44,637","But if like just a few took one or two breaks, then the whole thing just falls apart.","但只要少數幾個人破例一兩次，整件事就會垮掉。"
"00:07:46,251 --> 00:07:50,998","Schafer: All our backers are so cool, but the backers who are in the press feel a little differently.","Schafer：我們的贊助者都很酷，但身為媒體的贊助者感受有點不同。"
"00:07:50,998 --> 00:07:52,878","They feel they have the option to not be cool.","他們覺得自己可以選擇不要那麼酷。"
"00:07:54,575 --> 00:07:56,393","It's an awkward situation.","情況很尷尬"
"00:07:56,393 --> 00:08:00,653","Next time we wouldn't, I think actually have private forums for that reason.","下次我們不會這樣，我其實覺得這就是需要私人論壇的原因。"
"00:08:01,933 --> 00:08:07,713","Schafer: I mean, I feel in end that I just don't, I just don't want to have this fight any more about private stuff and all.","Schafer：我是說，最後我覺得我就是不想再為了私人內容之類的事吵下去了。"
"00:08:08,944 --> 00:08:14,228","It just puts, I mean, being in this antagonist relationship with the press is just not comfortable,","我的意思是，跟媒體處在這種對立關係真的很不舒服，"
"00:08:14,228 --> 00:08:18,740","'cause you need them and they're usually really good friends of ours.","因為你需要他們 他們通常是我們的好朋友"
"00:08:18,740 --> 00:08:24,944","I'm just getting mad at them one by one for breaking the faith of the backer agreement.","我只是因為他們違背贊助者協議的信任，一個接一個地對他們生氣。"
"00:08:25,926 --> 00:08:27,707","It's annoying.","很煩人"
"00:08:27,707 --> 00:08:33,110","Bailey: You know, one third of our, of all the articles that were written about Broken Age were about the embargo.","Bailey：你知道，所有關於《Broken Age》的文章裡，有三分之一是在講禁評期。"
"00:08:33,110 --> 00:08:38,077","And then another third were about us going from early access changing it to a regular release.","另外三分之一是在講我們從 Early Access 改成一般發行。"
"00:08:38,077 --> 00:08:43,697","And then one third were about the game. Yeah. So.","然後三分之一才是在講遊戲。對。所以……"
"00:08:43,697 --> 00:08:50,926","Rice: If we're saying backer Beta's the 14th and public release is the 28th, that would give the press builds like the 12th or something.","Rice：如果我們說 Backer Beta 是 14 號，公開發行是 28 號，那媒體版本大概會在 12 號之類的時候給。"
"00:08:50,926 --> 00:08:57,932","And embargo them, Bailey: This is an interesting one, because I think this is the next one that could lead to a PR blowup.","然後設禁評期，Bailey：這件事很有意思，因為我覺得這是下一個可能引發公關災難的點。"
"00:08:59,766 --> 00:09:01,852","Bailey: Yeah. I was not in favor of the embargo.","Bailey：對。我原本就不贊成禁評期。"
"00:09:01,852 --> 00:09:03,824","Rice: But preorders are there like you said.","Rice：但就像你說的，預購已經開了。"
"00:09:03,824 --> 00:09:06,944","So people can still at least go and get the preorder.","所以大家至少還是可以去預購。"
"00:09:09,383 --> 00:09:13,188","Bailey: So the preorders are, they're less than we expected.","Bailey：所以預購量，比我們預期的少。"
"00:09:13,188 --> 00:09:17,431","They are, we were hoping that they'd come in higher.","是，我們本來希望它們會更高。"
"00:09:17,431 --> 00:09:27,959","If I had to project off the preorders we received so far, that would be a kind of bleak outlook as far as how many we'd actually sell,","如果要根據目前收到的預購量來推估，從我們實際能賣多少來看，前景會有點黯淡，"
"00:09:27,959 --> 00:09:30,040","you know, for the lifetime of Broken Age.","你知道，以《Broken Age》的整個銷售週期來說。"
"00:09:30,040 --> 00:09:39,328","But I'm basing everything off if different historicals for other games that Tim has sold and none of those have had this kind of Kickstarter story.","但我的推估是根據 Tim 過去賣過的其他遊戲成績，而那些遊戲都沒有這種 Kickstarter 故事。"
"00:09:39,328 --> 00:09:41,748","So this is definitely unique.","所以這絕對很特別。"
"00:09:41,748 --> 00:09:49,445","I don't think it's time for us to panic right now, but it puts a whole lot more emphasis and importance on January 28th","我覺得現在還不到我們該恐慌的時候，但這讓 1 月 28 日的重要性大幅提高，"
"00:09:49,445 --> 00:09:50,887","when it comes out for real.","也就是它真正上市的時候。"
"00:09:50,887 --> 00:09:55,007","'Cause I think it will do well in the long-run, but it's like how long is that run.","因為我覺得長期來看它會賣得不錯，但問題是那個長期到底有多長。"
"00:09:57,102 --> 00:10:04,209","The other piece that I think is kind of silver-lining in all this is the reviews are coming in really good.","另一個我覺得算是這整件事裡一線希望的部分，是評價都非常好。"
"00:10:04,209 --> 00:10:09,677","You know, I foresee that the game's going to have a great word-of-mouth buzz.","你知道，我預期這款遊戲會有很棒的口碑聲量。"
"00:10:09,677 --> 00:10:11,531","Most of Tim's games actually do.","Tim 大多數遊戲其實都是這樣。"
"00:10:11,531 --> 00:10:14,510","And they have a, it has a very long tail.","而且它們，它的長尾效應很明顯。"
"00:10:14,510 --> 00:10:20,900","There're games, what people call ""evergreen games"", they keep on selling at a certain, certain level and they just keep on,","有些遊戲，大家稱為「長青遊戲」，會一直維持在某個銷售水準，然後持續賣下去，"
"00:10:20,900 --> 00:10:25,586","which keeps on accumulating over the years, which is different than most games.","多年下來會不斷累積，這跟大多數遊戲不同。"
"00:10:25,586 --> 00:10:28,825","Most games have that huge spike, that hump, that six-weeks hump.","大多數遊戲都會有那種巨大高峰，那個隆起，那個六週的高峰。"
"00:10:28,825 --> 00:10:30,875","Tim's are different.","Tim 的遊戲不一樣。"
"00:10:30,875 --> 00:10:38,067","So that's one good thing to take into account with all the good reviews and all the social media and the good word of mouth we're having.","所以把所有好評、社群媒體和我們擁有的好口碑都算進去，這是一件值得考量的好事。"
"00:10:38,067 --> 00:10:41,183","You know, it's like we can't get to a place where we could sell this game quick enough,","你知道，我們就是沒辦法快點到達可以賣這款遊戲的時候，"
"00:10:41,183 --> 00:10:47,472","because that's where we're really going to be able to see and project, you know, what the success of the game's going to be.","因為到那時我們才真正能看出並推估這款遊戲會有多成功。"
"00:10:47,472 --> 00:10:51,808","Rice: So the other thing Tim was talking about is just that now that we have to move the embargo up and reviews are out now,","Rice：所以 Tim 提到的另一件事，就是既然現在我們得把禁評期提前，評測也已經出來了，"
"00:10:51,808 --> 00:10:56,916","the idea of flipping the switch on Steam earlier.","是不是要早點打開 Steam 上的開關。"
"00:10:56,916 --> 00:10:58,672","Schafer: Releasing it a, a week earlier.","Schafer：提早一、一週發行。"
"00:10:58,672 --> 00:10:59,770","Like next Tuesday.","像下週二。"
"00:11:01,149 --> 00:11:03,283","Schafer: Sure, whatever.","Schafer：當然，隨便了"
"00:11:05,926 --> 00:11:07,007","and like, you know, Schafer: Well, that's the question.","然後，像是，你知道，Schafer：嗯，問題就在這裡。"
"00:11:07,007 --> 00:11:10,728","I mean, and there's, I mean there's a legitimate business reason, I think about it just because it's out there,","我是說，而且，我是說我覺得有正當的商業理由，因為它已經在外面了，"
"00:11:10,728 --> 00:11:14,503","it's getting a lot of attention right now and there's a lot of press I'm going to do in the next week.","現在受到很多關注，而且下週我會做很多媒體訪問。"
"00:11:14,503 --> 00:11:20,977","And it'd be nice if people, I mean can go pre-purchase it, but they can't buy it.","如果大家，我是說，可以去預購，但不能真正購買，那就有點可惜。"
"00:11:20,977 --> 00:11:25,270","Rice: It'd be nice to have a story about the game being pushed forward.","Rice：最好能講一下遊戲往前推進的狀況。"
"00:11:25,270 --> 00:11:27,980","Franzke: I voiced my concern about this plan.","Franzke：我有表達我對這個計畫的擔憂。"
"00:11:27,980 --> 00:11:34,957","I mean technically it does make like, like just looking at how the long the things take, just doesn't really make all that much sense.","我是說，光從技術面來看，看看這些事情要花多久，其實就不太合理。"
"00:11:34,957 --> 00:11:36,643","Franzke: And you know, I explained like that.","Franzke：你知道，我這樣解釋的"
"00:11:36,643 --> 00:11:43,198","That we can certainly do it but it will be very unadvisable, especially considering that time when that was first proposed.","我們當然做得到，但那會非常不明智，尤其是考慮到當初提出這件事的時間點。"
"00:11:43,198 --> 00:11:46,757","We still had big problems with crashes and people not being able to play the game at all.","我們當時還有嚴重的當機問題，有些人甚至完全沒辦法玩遊戲。"
"00:11:46,757 --> 00:11:54,311","So that was my main worry, that you know, we were still like trying to find the really big issues and so.","所以那是我主要擔心的事，我們當時還在找那些真正的大問題。"
"00:11:54,311 --> 00:11:57,477","So we didn't feel like it was ready to ship it then.","所以我們覺得那時候還沒準備好推出。"
"00:11:57,477 --> 00:12:04,773","But I think now, basically I don't think anything will have changed if we final release it on the planned day we had initially,","但我現在基本上覺得，就算照我們一開始規劃的日期正式發布，也不會有什麼不同，"
"00:12:04,773 --> 00:12:09,384","just because technically time-wise it doesn't really work out any other way, anyways.","因為以技術層面的時程來說，反正也沒有其他做法。"
"00:12:12,233 --> 00:12:13,388","Schafer: But it's good.","Schafer：不過這樣很好。"
"00:12:13,388 --> 00:12:16,160","So now the official reviews, now they are rolling in.","所以現在正式評論陸續出來了。"
"00:12:16,160 --> 00:12:18,024","The great thing is that they're all really great.","最棒的是，每一篇都很棒。"
"00:12:18,024 --> 00:12:21,484","I mean, that Polygon one was nine out of ten, which is great.","我是說，Polygon 那篇給了九分，滿分十分，這很棒。"
"00:12:21,484 --> 00:12:25,407","I mean, I would give it a ten, but I'll accept a nine.","我是說，我會給十分，但九分我也可以接受。"
"00:12:25,407 --> 00:12:31,422","Polygon Review: Broken Age may be unfinished, but it's also delightful, beautiful, utterly charming","Polygon Review：《Broken Age》或許還沒完成，但它令人愉快、美麗，而且迷人至極"
"00:12:31,422 --> 00:12:35,690","and you really should play it right this second.","你真的應該現在馬上去玩。"
"00:12:35,690 --> 00:12:36,537","Stapley: No, it's cool.","Stapley：不，這很酷。"
"00:12:36,537 --> 00:12:40,587","It's awesome that it sounded like, that we all made an awesome thing now.","聽起來很棒，好像我們現在真的做出了一個很棒的東西。"
"00:12:40,587 --> 00:12:42,526","Like this is the cool part, you know.","這就是很酷的地方，你懂吧。"
"00:12:42,526 --> 00:12:48,226","Like we made this awesome thing and now it's out in the world for everybody to look at.","我們做出了這麼棒的東西，現在它已經在世界上讓大家看到了。"
"00:12:48,226 --> 00:12:52,510","Rice: Yeah, I guess. Stapley: OK. How many reviews are there now.","Rice：對，我想也是。Stapley：好。現在有幾篇評論了？"
"00:12:52,510 --> 00:12:53,416","Crook: But it feels good.","Crook：但感覺很好"
"00:12:53,416 --> 00:12:57,166","And people seem to be really responding to the game.","而且大家似乎真的很有共鳴。"
"00:12:57,166 --> 00:13:00,591","The reviews have been really good.","評論真的很好"
"00:13:00,591 --> 00:13:05,778","And even comments about animation, which you don't get that often.","甚至還有人評論動畫，這其實不常見。"
"00:13:05,778 --> 00:13:08,810","It seems like in games a lot of times, maybe you will a couple of times.","在遊戲裡好像很多時候，也許偶爾會有。"
"00:13:08,810 --> 00:13:14,903","But there's been several other reviews that have mentioned the animation, that they really, that they really liked it.","但另外有好幾篇評論都提到動畫，說他們真的很喜歡。"
"00:13:14,903 --> 00:13:17,146","And that's, that's rewarding.","這點很有成就感。"
"00:13:17,146 --> 00:13:18,741","Oh, yeah. Yeah.","是的 是啊。"
"00:13:18,741 --> 00:13:20,358","I saw a nine today; that's nice.","我今天看到一個九分，滿不錯的。"
"00:13:20,358 --> 00:13:27,272","But you know, I actually, I feel kind of bad I don't really, I try not to read a lot of the reviews","不過你知道，其實我有點不好意思，我真的盡量不要看太多評論，"
"00:13:27,272 --> 00:13:30,565","because the bad ones do kind of make me, put me down.","因為負評真的會讓我有點沮喪。"
"00:13:30,565 --> 00:13:34,271","You know, they kind of, you know, when you're kind of on this high that you've released it","你知道，當你因為遊戲發布而情緒很高昂時，"
"00:13:34,271 --> 00:13:40,717","and then suddenly, even though if there's like six good reviews and one bad one, that bad one kind of affects me.","突然就算有六篇好評、一篇負評，那篇負評還是會影響我。"
"00:13:40,717 --> 00:13:46,405","So I try not to read a lot of the comments until a little bit later on.","所以我會盡量晚一點再去看很多留言。"
"00:13:46,405 --> 00:13:48,939","Heatseeker Review: Broken Age gets by on the strength of its storytelling.","Heatseeker Review：《Broken Age》靠著它的敘事魅力撐了起來。"
"00:13:48,939 --> 00:13:56,603","The puzzles aren't particularly complex or compelling with the exception of a certain vomiting tree.","謎題並不特別複雜或吸引人，除了某棵會嘔吐的樹之外。"
"00:13:56,603 --> 00:13:59,997","And serve as a reason to explore the environments.","它們比較像是讓玩家探索環境的理由。"
